FeatureID,COMP_ID,SUPER_PATHWAY,SUB_PATHWAY,PATHWAY_SORTORDER,INCHIKEY,SMILES,CHEMICAL_NAME,PLOT_NAME,CAS,CHEMSPIDER,HMDB,KEGG,PUBCHEM
S444,1493,Amino Acid,Urea cycle; Arginine and Proline Metabolism,494,AHLPHDHHMVZTML-BYPYZUCNSA-N,O=C(O)[C@@H](N)CCCN,ornithine,ornithine,3184-13-2,6026,HMDB0000214,C00077,6262
S445,1505,Nucleotide,"Pyrimidine Metabolism, Orotate containing",4226,PXQPEWDEAKTCGB-UHFFFAOYSA-N,O=C(C1=CC(O)=NC(O)=N1)O,orotate,orotate,50887-69-9,942,HMDB0000226,C00295,967
S448,27727,Amino Acid,Glutathione Metabolism,575,YPZRWBKMTBYPTK-BJDJZHNGSA-N,O=C([C@@H](NC(CC[C@@H](C(O)=O)N)=O)CSSC[C@@H](C(NCC(O)=O)=O)NC(CC[C@@H](C(O)=O)N)=O)NCC(O)=O,"glutathione, oxidized (GSSG)","glutathione, oxidized (GSSG)",103239-24-3,58835,HMDB0003337,"D00031,C00127",65359
S452,33447,Lipid,Long Chain Monounsaturated Fatty Acid,1546,SECPZKHBENQXJG-FPLPWBNLSA-N,CCCCCC\C=C/CCCCCCCC(O)=O,palmitoleate (16:1n7),palmitoleate (16:1n7),373-49-9,393216,HMDB0003229,C08362,445638
S460,64,Amino Acid,Phenylalanine Metabolism,142,COLNVLDHVKWLRT-UHFFFAOYSA-N,NC(C(O)=O)CC1=CC=CC=C1,phenylalanine,phenylalanine,63-91-2,5910,HMDB0000159,C00079,6140
S461,42109,Energy,Oxidative Phosphorylation,1485,NBIIXXVUZAFLBC-UHFFFAOYSA-N,O=P(O)(O)O,phosphate,phosphate,7664-38-2,1032,HMDB0001429,C00009,1061
S480,1898,Amino Acid,Urea cycle; Arginine and Proline Metabolism,502,ONIBWKKTOPOVIA-UHFFFAOYSA-N,OC(C1CCCN1)=O,proline,proline,147-85-3,128566,"HMDB0000162,HMDB0003411","C00148,C000763","8988,145742,614"
S482,527,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",1256,JVTAAEKCZFNVCJ-UHFFFAOYSA-N,CC(O)C(O)=O,lactate,lactate,79-33-4,592,HMDB0000190,C00186,612
S49,1408,Amino Acid,Polyamine Metabolism,545,KIDHWZJUCRJVML-UHFFFAOYSA-N,NCCCCN,putrescine,putrescine,110-60-1,13837702,HMDB0001414,C00134,1045
S491,1651,Cofactors and Vitamins,Vitamin B6 Metabolism,4470,RADKZDMFGJYCBB-UHFFFAOYSA-N,OC1=C(C)N=CC(CO)=C1C=O,pyridoxal,pyridoxal,65-22-5,1021,HMDB0001545,C00250,1050
S498,1806,Cofactors and Vitamins,Vitamin A Metabolism,4449,FPIPGXGPPPQFEQ-OVSJKPMPSA-N,C/C(/C=C/C(C(C)(CCC1)C)=C1C)=C\C=C\C(C)=C\CO,retinol (vitamin A),retinol (vitamin A),68-26-8,393012,HMDB0000305,C00473,445354
S50,485,Amino Acid,Polyamine Metabolism,553,ATHGHQPFGPMSJY-UHFFFAOYSA-N,NCCCCNCCCN,spermidine,spermidine,124-20-9,1071,HMDB0001257,C00315,1102
S501,1515,Xenobiotics,Drug - Topical Agents,5981,YGSDEFSMJLZEOE-UHFFFAOYSA-N,OC1=C(C(O)=O)C=CC=C1,salicylate,salicylate,69-72-7,331,HMDB0001895,C00805,338
S503,1648,Amino Acid,"Glycine, Serine and Threonine Metabolism",10,MTCFGRXMJLQNBG-REOHCLBHSA-N,OC([C@@H](N)CO)=O,serine,serine,56-45-1,5736,HMDB0000187,C00065,5951
S504,2342,Amino Acid,Tryptophan Metabolism,292,QZAYGJVTTNCVMB-UHFFFAOYSA-N,NCCC1=CNC(C=C2)=C1C=C2O,serotonin,serotonin,153-98-0,5013,HMDB0000259,C00780,5202
S512,2125,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",477,XOAAWQZATWQOTB-UHFFFAOYSA-N,NCCS(=O)(O)=O,taurine,taurine,107-35-7,1091,HMDB0000251,C00245,1123
S519,1365,Lipid,Long Chain Saturated Fatty Acid,1524,TUNFSRHWOTWDNC-UHFFFAOYSA-N,OC(CCCCCCCCCCCCC)=O,myristate (14:0),myristate (14:0),544-63-8,10539,HMDB0000806,C06424,11005
S533,1670,Amino Acid,Urea cycle; Arginine and Proline Metabolism,492,XSQUKJJJFZCRTK-UHFFFAOYSA-N,O=C(N)N,urea,urea,57-13-6,1143,HMDB0000294,C00086,1176
