FeatureID,LIB_ID,COMP_ID,SUPER_PATHWAY,SUB_PATHWAY,TYPE,INCHIKEY,SMILES,CHEMICAL_NAME,CAS,CHEMSPIDER,HMDB,KEGG,PUBCHEM,PLATFORM
F100000743,209,22036,Lipid,"Fatty Acid, Monohydroxy",NAMED,JKRDADVRIYVCCY-UHFFFAOYSA-N,O=C(C(CCCCCC)O)O,2-hydroxyoctanoate,617-73-2,84994,HMDB0002264,,"9,418,069,950,135,310,000",Neg
F100000765,400,22177,Xenobiotics,Food Component/Plant,NAMED,JOOXCMJARBKPKM-UHFFFAOYSA-N,CC(CCC(O)=O)=O,levulinate (4-oxovalerate),123-76-2,11091,HMDB0000720,,11579,Pos Early
F100000773,209,22001,Lipid,"Fatty Acid, Monohydroxy",NAMED,NDPLAKGOSZHTPH-UHFFFAOYSA-N,OC(CC(O)=O)CCCCC,3-hydroxyoctanoate,88930-08-9,24791,HMDB0001954,C20793,26613,Neg
F100000774,209,22130,Amino Acid,Phenylalanine Metabolism,NAMED,VOXXWSYKYCBWHO-UHFFFAOYSA-N,OC(C(O)=O)CC1=CC=CC=C1,phenyllactate (PLA),828-01-3,3715,"HMDB0000779,HMDB0000563",C05607,3848,Neg
F100000776,402,44681,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)",NAMED,XOMRRQXKHMYMOC-UHFFFAOYSA-N,[O-]C(CC(OC(CCCCCCCCCCCCCCC)=O)C[N+](C)(C)C)=O,palmitoylcarnitine (C16),6865-14-1,448,HMDB0000222,C02990,461,Pos Late
F100000787,305,22185,Amino Acid,Alanine and Aspartate Metabolism,NAMED,OTCCIMWXFLJLIA-BYPYZUCNSA-N,OC([C@@H](NC(C)=O)CC(O)=O)=O,N-acetylaspartate (NAA),"997-55-7,997-55-7",58576,HMDB0000812,C01042,65065,Polar
F100000799,400,27536,Xenobiotics,Food Component/Plant,NAMED,PSFDQSOCUJVVGF-UHFFFAOYSA-N,CC1=NC=CC2=C1NC3=C2C=CC=C3,harmane,486-84-0,4444755,HMDB0035196,C09209,5281404,Pos Early
F100000802,400,32198,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Short Chain)",NAMED,RDHQFKQIGNGIED-MRVPVSSYSA-N,C[N+](C)(C)C[C@H](OC(C)=O)CC([O-])=O,acetylcarnitine (C2),5080-50-2,5406074,HMDB0000201,C02571,7045767,Pos Early
F100000806,209,22273,Lipid,"Fatty Acid, Branched",NAMED,FGKJLKRYENPLQH-UHFFFAOYSA-N,CC(C)CCC(O)=O,isocaproate (i6:0),646-07-1,12067,HMDB00689,,12587,Neg
F100000808,305,22176,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",NAMED,NOKPBJYHPHHWAN-REOHCLBHSA-N,N[C@H](C(O)=O)CSS(O)(=O)=O,cysteine s-sulfate,1637-71-4,102939,HMDB0000731,C05824,115015,Polar
F100000809,305,27680,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,NAMED,BLHCMGRVFXRYRN-UHFFFAOYSA-N,O=C(O)C1=CC=C(O)N=C1,6-hydroxynicotinate,5006-66-6,65756,HMDB0002658,C01020,72924,Polar
F100000827,209,21127,Lipid,Monoacylglycerol,NAMED,QHZLMUACJMDIAE-UHFFFAOYSA-N,O=C(CCCCCCCCCCCCCCC)OCC(O)CO,1-palmitoylglycerol (16:0),542-44-9,14201,HMDB0011564,,14900,Neg
F100000842,209,20698,Xenobiotics,Food Component/Plant,NAMED,KKSDGJDHHZEWEP-SNAWJCMRSA-N,OC1=CC(/C=C/C(O)=O)=CC=C1,3-hydroxycinnamate,"14755-02-3,588-30-7",553147,HMDB0001713,C12621,637541,Neg
F100000862,305,21133,Xenobiotics,Benzoate Metabolism,NAMED,FJKROLUGYXJWQN-UHFFFAOYSA-N,OC1=CC=C(C(O)=O)C=C1,4-hydroxybenzoate,99-96-7,132,HMDB0000500,C00156,135,Polar
F100000863,305,21134,Lipid,"Fatty Acid, Dicarboxylate",NAMED,WNLRTRBMVRJNCN-UHFFFAOYSA-N,OC(CCCCC(O)=O)=O,adipate (C6-DC),124-04-9,191,HMDB0000448,C06104,196,Polar
F100000869,209,21150,Xenobiotics,Food Component/Plant,NAMED,PCMORTLOPMLEFB-ONEGZZNKSA-N,OC1=C(OC)C=C(/C=C/C(O)=O)C=C1OC,sinapate,530-59-6,553361,HMDB0032616,C00482,637775,Neg
F100000870,209,21151,Xenobiotics,Food Component/Plant,NAMED,CVHZOJJKTDOEJC-UHFFFAOYSA-N,O=S(C1=CC=CC=C1C2=O)(N2)=O,saccharin,81-07-2,4959,HMDB0029723,C12283,5143,Neg
