Analysis,CatID,GroupCode,_Imputation_,SDF1_Observed,SDF1
Group-only PMM,13,C,13,693.81,693.81
Group-only PMM,9,C,13,730.21,730.21
Group-only PMM,3,D,13,410.73,410.73
Group-only PMM,24,D,13,1793.84,1793.84
Group-only PMM,8,C,13,,708.48
Group-only PMM,6,C,13,59.34,59.34
Group-only PMM,11,C,13,745.5,745.5
Group-only PMM,2,D,13,1794.45,1794.45
Group-only PMM,7,C,13,547.82,547.82
Group-only PMM,1,C,13,617.83,617.83
Group-only PMM,10,C,13,59.34,59.34
Group-only PMM,23,C,13,452.94,452.94
Group-only PMM,16,C,13,173.83,173.83
Group-only PMM,20,C,13,908.79,908.79
Group-only PMM,18,D,14,686.49,686.49
Group-only PMM,4,C,14,1041.31,1041.31
Group-only PMM,19,D,14,1412.35,1412.35
Group-only PMM,26,D,14,1205.1,1205.1
Group-only PMM,17,C,14,253.24,253.24
Group-only PMM,22,C,14,400.74,400.74
Group-only PMM,5,C,14,708.48,708.48
Group-only PMM,14,C,14,1387.6,1387.6
Group-only PMM,28,C,14,356.3,356.3
Group-only PMM,12,C,14,762.73,762.73
Group-only PMM,15,C,14,1318.05,1318.05
Group-only PMM,29,C,14,518.66,518.66
Group-only PMM,27,D,14,,1412.35
Group-only PMM,21,D,14,942.41,942.41
Group-only PMM,25,C,14,1076.91,1076.91
Group-only PMM,13,C,14,693.81,693.81
Group-only PMM,9,C,14,730.21,730.21
Group-only PMM,3,D,14,410.73,410.73
Group-only PMM,24,D,14,1793.84,1793.84
Group-only PMM,8,C,14,,1387.6
Group-only PMM,6,C,14,59.34,59.34
Group-only PMM,11,C,14,745.5,745.5
Group-only PMM,2,D,14,1794.45,1794.45
Group-only PMM,7,C,14,547.82,547.82
Group-only PMM,1,C,14,617.83,617.83
Group-only PMM,10,C,14,59.34,59.34
Group-only PMM,23,C,14,452.94,452.94
Group-only PMM,16,C,14,173.83,173.83
Group-only PMM,20,C,14,908.79,908.79
Group-only PMM,18,D,15,686.49,686.49
Group-only PMM,4,C,15,1041.31,1041.31
Group-only PMM,19,D,15,1412.35,1412.35
Group-only PMM,26,D,15,1205.1,1205.1
Group-only PMM,17,C,15,253.24,253.24
Group-only PMM,22,C,15,400.74,400.74
Group-only PMM,5,C,15,708.48,708.48
Group-only PMM,14,C,15,1387.6,1387.6
Group-only PMM,28,C,15,356.3,356.3
Group-only PMM,12,C,15,762.73,762.73
Group-only PMM,15,C,15,1318.05,1318.05
Group-only PMM,29,C,15,518.66,518.66
Group-only PMM,27,D,15,,686.49
Group-only PMM,21,D,15,942.41,942.41
Group-only PMM,25,C,15,1076.91,1076.91
Group-only PMM,13,C,15,693.81,693.81
Group-only PMM,9,C,15,730.21,730.21
Group-only PMM,3,D,15,410.73,410.73
Group-only PMM,24,D,15,1793.84,1793.84
Group-only PMM,8,C,15,,1387.6
Group-only PMM,6,C,15,59.34,59.34
Group-only PMM,11,C,15,745.5,745.5
Group-only PMM,2,D,15,1794.45,1794.45
Group-only PMM,7,C,15,547.82,547.82
Group-only PMM,1,C,15,617.83,617.83
